agemos,L,M,S,P1,P3,P5,P15,P25,P50,P75,P85,P95,P97,P99
99,-0.5722,26.0706,0.14539,19.1,20.2,20.8,22.6,23.7,26.1,28.8,30.5,33.7,35.1,38.0
100,-0.5799,26.2911,0.14608,19.3,20.4,21.0,22.7,23.9,26.3,29.1,30.8,34.1,35.5,38.4
101,-0.5873,26.5128,0.14679,19.4,20.5,21.2,22.9,24.1,26.5,29.4,31.1,34.4,35.8,38.8
102,-0.5946,26.7358,0.14752,19.6,20.7,21.3,23.1,24.3,26.7,29.6,31.4,34.7,36.2,39.2
103,-0.6017,26.9602,0.14828,19.7,20.8,21.5,23.3,24.5,27.0,29.9,31.7,35.1,36.6,39.7
104,-0.6085,27.1861,0.14905,19.8,21.0,21.6,23.5,24.7,27.2,30.2,32.0,35.5,37.0,40.1
105,-0.6152,27.4137,0.14984,20.0,21.1,21.8,23.6,24.9,27.4,30.4,32.3,35.8,37.4,40.6
106,-0.6216,27.6432,0.15066,20.1,21.3,22.0,23.8,25.0,27.6,30.7,32.6,36.2,37.8,41.0
107,-0.6278,27.8750,0.15149,20.3,21.4,22.1,24.0,25.2,27.9,31.0,32.9,36.6,38.2,41.5
108,-0.6337,28.1092,0.15233,20.4,21.6,22.3,24.2,25.4,28.1,31.3,33.2,36.9,38.6,42.0
109,-0.6393,28.3459,0.15319,20.6,21.8,22.4,24.4,25.6,28.3,31.5,33.5,37.3,39.0,42.5
110,-0.6446,28.5854,0.15406,20.7,21.9,22.6,24.6,25.9,28.6,31.8,33.8,37.7,39.4,43.0
111,-0.6496,28.8277,0.15493,20.9,22.1,22.8,24.7,26.1,28.8,32.1,34.2,38.1,39.8,43.5
112,-0.6543,29.0731,0.15581,21.0,22.2,22.9,24.9,26.3,29.1,32.4,34.5,38.5,40.3,44.0
113,-0.6585,29.3217,0.15670,21.1,22.4,23.1,25.1,26.5,29.3,32.7,34.8,38.9,40.7,44.5
114,-0.6624,29.5736,0.15760,21.3,22.6,23.3,25.3,26.7,29.6,33.0,35.2,39.3,41.1,45.0
115,-0.6659,29.8289,0.15850,21.5,22.7,23.5,25.5,26.9,29.8,33.3,35.5,39.7,41.6,45.5
116,-0.6689,30.0877,0.15940,21.6,22.9,23.6,25.7,27.1,30.1,33.6,35.8,40.1,42.0,46.1
117,-0.6714,30.3501,0.16031,21.8,23.1,23.8,25.9,27.3,30.4,34.0,36.2,40.6,42.5,46.6
118,-0.6735,30.6160,0.16122,21.9,23.2,24.0,26.1,27.6,30.6,34.3,36.6,41.0,43.0,47.2
119,-0.6752,30.8854,0.16213,22.1,23.4,24.2,26.3,27.8,30.9,34.6,36.9,41.4,43.5,47.7
120,-0.6764,31.1586,0.16305,22.2,23.6,24.4,26.6,28.0,31.2,34.9,37.3,41.9,43.9,48.3
